model,confusion,accuracy,precision,recall,f1,roc_auc
"XGBClassifier(colsample_bytree=0.5, early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], min_child_weight=0.01,
              verbose=True)",[[52923 18695] [1515  2597]],0.7331308596329064,0.12197069321811009,0.6315661478599222,0.20445599118249094,0.7560465654325972
"XGBClassifier(colsample_bytree=0.75, early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], min_child_weight=0.01,
              verbose=True)",[[53015 18603] [1513  2599]],0.7343721114485673,0.12258277520988586,0.6320525291828794,0.20534091806905272,0.75541004992115
"XGBClassifier(early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], min_child_weight=0.01,
              verbose=True)",[[53047 18571] [1507  2605]],0.7348738940974515,0.12301662259161315,0.6335116731517509,0.20602657386902878,0.7555539972099051
"XGBClassifier(colsample_bytree=0.5, early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], min_child_weight=0.1,
              verbose=True)",[[52923 18695] [1515  2597]],0.7331308596329064,0.12197069321811009,0.6315661478599222,0.20445599118249094,0.7560465654325972
"XGBClassifier(colsample_bytree=0.75, early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], min_child_weight=0.1,
              verbose=True)",[[53015 18603] [1513  2599]],0.7343721114485673,0.12258277520988586,0.6320525291828794,0.20534091806905272,0.75541004992115
"XGBClassifier(early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], min_child_weight=0.1,
              verbose=True)",[[53047 18571] [1507  2605]],0.7348738940974515,0.12301662259161315,0.6335116731517509,0.20602657386902878,0.7555539972099051
"XGBClassifier(colsample_bytree=0.5, early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], verbose=True)",[[52923 18695] [1515  2597]],0.7331308596329064,0.12197069321811009,0.6315661478599222,0.20445599118249094,0.7560465654325972
"XGBClassifier(colsample_bytree=0.75, early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], verbose=True)",[[53015 18603] [1513  2599]],0.7343721114485673,0.12258277520988586,0.6320525291828794,0.20534091806905272,0.75541004992115
"XGBClassifier(early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], verbose=True)",[[53047 18571] [1507  2605]],0.7348738940974515,0.12301662259161315,0.6335116731517509,0.20602657386902878,0.7555539972099051
"XGBClassifier(colsample_bytree=0.5, early_stopping_rounds=100,
              eval_metric=['rmse', 'error', 'logloss'],
              eval_set=['rmse', 'error', 'logloss'], min_child_weight=10,
              verbose=True)",[[52923 18695] [1515  2597]],0.7331308596329064,0.12197069321811009,0.6315661478599222,0.20445599118249094,0.7560465654325972
