model,params,confusion,accuracy,precision,recall,f1,roc_auc
"DecisionTreeClassifier(max_depth=4, max_features='sqrt')","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[50751 20897] [1880  2202]],0.6992341212201241,0.09532880211264556,0.5394414502694758,0.16202494389463226,0.6934220756345082
"DecisionTreeClassifier(max_depth=4, max_features='log2')","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42849 28799] [ 896  3186]],0.6078832695101016,0.0996091918086603,0.780499755022048,0.17667119527545955,0.7458507030342035
DecisionTreeClassifier(max_depth=4),"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51345 20303] [1291  2791]],0.714855407368282,0.1208539014462631,0.6837334639882411,0.20540182513982924,0.7611249200320407
"DecisionTreeClassifier(criterion='entropy', max_depth=4, max_features='sqrt')","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[48835 22813] [1367  2715]],0.6807077776310577,0.10635380758382952,0.6651151396374326,0.1833839918946302,0.7305677790751847
"DecisionTreeClassifier(criterion='entropy', max_depth=4, max_features='log2')","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[53056 18592] [1427  2655]],0.7356529776838769,0.12495881771544218,0.6504164625183734,0.2096411228236409,0.7495887811477047
"DecisionTreeClassifier(criterion='entropy', max_depth=4)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51345 20303] [1291  2791]],0.714855407368282,0.1208539014462631,0.6837334639882411,0.20540182513982924,0.7611249200320407
"DecisionTreeClassifier(criterion='log_loss', max_depth=4, max_features='sqrt')","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[49550 22098] [1238  2844]],0.6918526343589066,0.11402453692566755,0.6967172954434101,0.1959757442116869,0.7570494775180485
"DecisionTreeClassifier(criterion='log_loss', max_depth=4, max_features='log2')","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[42006 29642] [ 805  3277]],0.5979532549848144,0.09954737385704304,0.8027927486526213,0.17713034782843706,0.7568952054838736
"DecisionTreeClassifier(criterion='log_loss', max_depth=4)","{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 4, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[51345 20303] [1291  2791]],0.714855407368282,0.1208539014462631,0.6837334639882411,0.20540182513982924,0.7611249200320407
"DecisionTreeClassifier(ccp_alpha=0.0005, max_depth=4, max_features='sqrt')","{'ccp_alpha': 0.0005, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",[[39849 31799] [ 928  3154]],0.5678462960517628,0.0902354590450033,0.7726604605585498,0.1615985653900346,0.7332718076741449
